name,rate_of_the_hotel,location_rating,comfort,staff,desk_24/7,rate_of_facilities,swimming_pool,bar,wifi,value_for_money,parking,Elevator,Cleanliness,Babysitting_Child_services,Sauna,pets,Wheelchair_accessible,safe,city,sum of facilities,sum of services
Villa Angelina - Casa per Ferie,9.0,8.7,9.3,9.2,0,9.0,0,0,1,9.1,0,0,9.5,0,0,0,0,1,Rome,1,1
Trevi Fountain Guesthouse,7.5,9.4,7.6,7.5,0,7.1,0,1,1,7.2,0,0,7.6,0,0,1,0,1,Rome,2,2
Art Atelier Accomodation,8.5,9.5,8.8,9.0,0,8.3,0,1,1,8.8,0,0,8.8,0,0,1,0,1,Rome,2,2
Argentina Residenza,9.0,9.7,9.2,9.5,0,8.9,0,1,1,8.8,1,0,9.3,0,0,0,0,1,Rome,3,1
Panoramic View of St. Peter,9.2,9.7,9.2,9.9,0,8.9,0,0,1,9.2,0,1,9.3,0,0,0,0,1,Rome,2,1
Domus 21 Luxury Suites,9.6,9.9,9.7,9.9,0,9.5,0,0,1,9.3,0,0,9.8,0,0,1,0,1,Rome,1,2
Arch Rome Suites,9.0,9.8,9.2,9.6,0,9.0,0,0,1,9.2,0,0,9.2,0,0,0,0,1,Rome,1,1
Coladir Guest House,8.4,9.3,8.6,9.3,0,8.3,0,0,1,8.6,0,0,8.6,0,0,0,0,1,Rome,1,1
Amleto Apartments,7.9,9.3,7.9,8.6,0,7.5,0,0,1,7.9,0,0,7.8,0,0,1,0,0,Rome,0,2
Hotel Trevi - Gruppo Trevi Hotels,8.2,9.7,8.4,8.9,0,8.0,0,0,1,8.1,0,0,8.5,0,0,1,0,1,Rome,1,2
B&B Appia 52,8.7,9.3,9.0,9.3,0,8.7,0,1,1,8.7,0,0,9.2,1,0,0,0,0,Rome,1,2
Rome River Inn,8.7,9.3,9.0,9.6,0,8.5,0,0,1,8.5,1,1,9.0,0,0,0,0,1,Rome,3,1
Pantheon Inn,8.1,9.7,8.2,9.2,0,7.9,0,0,1,8.3,0,0,8.3,0,0,1,0,1,Rome,1,2
Apartment Via Farina,8.9,9.9,8.7,9.6,0,8.5,0,0,1,8.9,0,0,9.0,0,0,1,0,1,Rome,1,2
Luxury Trastevere,8.3,9.2,8.4,8.9,0,8.0,0,0,1,7.9,0,0,8.6,1,0,0,0,1,Rome,1,2
Casa in Monti,8.2,9.3,8.5,9.1,0,8.1,0,1,1,8.5,1,0,8.6,0,0,0,0,1,Rome,3,1
Appartamento Mellini,8.5,9.5,8.4,9.6,0,8.2,0,0,1,8.7,0,0,8.4,0,0,0,0,0,Rome,0,1
Le Stanze di Elisa,9.1,9.6,9.6,9.7,0,9.3,0,0,1,9.0,1,0,9.6,1,0,0,0,1,Rome,2,2
Casa di Ele,9.3,9.3,9.5,9.8,0,9.6,0,0,1,9.4,0,0,9.7,0,0,0,0,0,Rome,0,1
Sweet Holidays In Rome,8.3,9.0,8.7,8.9,0,8.4,0,1,1,8.7,0,0,8.8,0,0,0,0,1,Rome,2,1
Guest House della Valle Roma,9.3,9.7,9.4,9.8,0,9.3,0,0,1,9.4,0,0,9.5,0,0,0,0,1,Rome,1,1
New! Spanish Step Design Apartment,7.9,9.8,6.8,8.3,0,7.3,0,0,1,7.5,1,0,7.8,0,0,0,0,0,Rome,1,1
